timestamp,dorm,consumption_kwh
2025-01-01 00:00:00,Dorm_A,10.35
2025-01-01 01:00:00,Dorm_A,10.52
2025-01-01 02:00:00,Dorm_A,10.03
2025-01-01 03:00:00,Dorm_A,16.71
2025-01-01 04:00:00,Dorm_A,12.78
2025-01-01 05:00:00,Dorm_A,19.58
2025-01-01 06:00:00,Dorm_A,27.09
2025-01-01 07:00:00,Dorm_A,21.23
2025-01-01 08:00:00,Dorm_A,22.96
2025-01-01 09:00:00,Dorm_A,21.66
2025-01-01 10:00:00,Dorm_A,14.87
2025-01-01 11:00:00,Dorm_A,10.19
2025-01-01 12:00:00,Dorm_A,12.38
2025-01-01 13:00:00,Dorm_A,18.27
2025-01-01 14:00:00,Dorm_A,18.49
2025-01-01 15:00:00,Dorm_A,11.02
2025-01-01 16:00:00,Dorm_A,17.96
2025-01-01 17:00:00,Dorm_A,17.58
2025-01-01 18:00:00,Dorm_A,36.18
2025-01-01 19:00:00,Dorm_A,33.87
2025-01-01 20:00:00,Dorm_A,39.5
2025-01-01 21:00:00,Dorm_A,35.86
2025-01-01 22:00:00,Dorm_A,34.76
2025-01-01 23:00:00,Dorm_A,13.97
2025-01-02 00:00:00,Dorm_A,15.27
2025-01-02 01:00:00,Dorm_A,17.58
2025-01-02 02:00:00,Dorm_A,10.97
2025-01-02 03:00:00,Dorm_A,10.92
2025-01-02 04:00:00,Dorm_A,12.1
2025-01-02 05:00:00,Dorm_A,10.76
2025-01-02 06:00:00,Dorm_A,23.57
2025-01-02 07:00:00,Dorm_A,23.11
2025-01-02 08:00:00,Dorm_A,27.09
2025-01-02 09:00:00,Dorm_A,23.44
2025-01-02 10:00:00,Dorm_A,17.43
2025-01-02 11:00:00,Dorm_A,10.23
2025-01-02 12:00:00,Dorm_A,18.51
2025-01-02 13:00:00,Dorm_A,13.3
2025-01-02 14:00:00,Dorm_A,11.22
2025-01-02 15:00:00,Dorm_A,13.22
2025-01-02 16:00:00,Dorm_A,18.88
2025-01-02 17:00:00,Dorm_A,18.48
2025-01-02 18:00:00,Dorm_A,31.87
2025-01-02 19:00:00,Dorm_A,34.79
2025-01-02 20:00:00,Dorm_A,32.8
2025-01-02 21:00:00,Dorm_A,41.23
2025-01-02 22:00:00,Dorm_A,42.5
2025-01-02 23:00:00,Dorm_A,15.76
2025-01-03 00:00:00,Dorm_A,12.14
2025-01-03 01:00:00,Dorm_A,10.63
2025-01-03 02:00:00,Dorm_A,17.54
2025-01-03 03:00:00,Dorm_A,13.92
2025-01-03 04:00:00,Dorm_A,12.06
2025-01-03 05:00:00,Dorm_A,14.9
2025-01-03 06:00:00,Dorm_A,27.87
2025-01-03 07:00:00,Dorm_A,21.51
2025-01-03 08:00:00,Dorm_A,27.72
2025-01-03 09:00:00,Dorm_A,28.14
2025-01-03 10:00:00,Dorm_A,13.02
2025-01-03 11:00:00,Dorm_A,18.69
2025-01-03 12:00:00,Dorm_A,17.57
2025-01-03 13:00:00,Dorm_A,13.44
2025-01-03 14:00:00,Dorm_A,17.87
2025-01-03 15:00:00,Dorm_A,17.54
2025-01-03 16:00:00,Dorm_A,12.18
2025-01-03 17:00:00,Dorm_A,12.88
2025-01-03 18:00:00,Dorm_A,32.01
2025-01-03 19:00:00,Dorm_A,37.68
2025-01-03 20:00:00,Dorm_A,32.69
2025-01-03 21:00:00,Dorm_A,39.54
2025-01-03 22:00:00,Dorm_A,44.03
2025-01-03 23:00:00,Dorm_A,12.44
2025-01-04 00:00:00,Dorm_A,14.55
2025-01-04 01:00:00,Dorm_A,18.55
2025-01-04 02:00:00,Dorm_A,15.39
2025-01-04 03:00:00,Dorm_A,18.8
2025-01-04 04:00:00,Dorm_A,12.56
2025-01-04 05:00:00,Dorm_A,12.85
2025-01-04 06:00:00,Dorm_A,28.4
2025-01-04 07:00:00,Dorm_A,22.2
2025-01-04 08:00:00,Dorm_A,25.21
2025-01-04 09:00:00,Dorm_A,24.06
2025-01-04 10:00:00,Dorm_A,19.2
2025-01-04 11:00:00,Dorm_A,12.22
2025-01-04 12:00:00,Dorm_A,16.47
2025-01-04 13:00:00,Dorm_A,14.81
2025-01-04 14:00:00,Dorm_A,17.9
2025-01-04 15:00:00,Dorm_A,17.35
2025-01-04 16:00:00,Dorm_A,10.97
2025-01-04 17:00:00,Dorm_A,12.62
2025-01-04 18:00:00,Dorm_A,33.03
2025-01-04 19:00:00,Dorm_A,44.82
2025-01-04 20:00:00,Dorm_A,41.7
2025-01-04 21:00:00,Dorm_A,32.02
2025-01-04 22:00:00,Dorm_A,35.94
2025-01-04 23:00:00,Dorm_A,17.57
2025-01-05 00:00:00,Dorm_A,10.74
2025-01-05 01:00:00,Dorm_A,13.61
2025-01-05 02:00:00,Dorm_A,16.53
2025-01-05 03:00:00,Dorm_A,16.27
2025-01-05 04:00:00,Dorm_A,13.91
2025-01-05 05:00:00,Dorm_A,13.84
2025-01-05 06:00:00,Dorm_A,29.36
2025-01-05 07:00:00,Dorm_A,24.51
2025-01-05 08:00:00,Dorm_A,29.52
2025-01-05 09:00:00,Dorm_A,26.36
2025-01-05 10:00:00,Dorm_A,17.34
2025-01-05 11:00:00,Dorm_A,13.49
2025-01-05 12:00:00,Dorm_A,17.71
2025-01-05 13:00:00,Dorm_A,14.75
2025-01-05 14:00:00,Dorm_A,14.57
2025-01-05 15:00:00,Dorm_A,15.92
2025-01-05 16:00:00,Dorm_A,17.34
2025-01-05 17:00:00,Dorm_A,17.37
2025-01-05 18:00:00,Dorm_A,39.36
2025-01-05 19:00:00,Dorm_A,33.58
2025-01-05 20:00:00,Dorm_A,40.16
2025-01-05 21:00:00,Dorm_A,30.77
2025-01-05 22:00:00,Dorm_A,42.41
2025-01-05 23:00:00,Dorm_A,15.13
2025-01-06 00:00:00,Dorm_A,13.44
2025-01-06 01:00:00,Dorm_A,19.61
2025-01-06 02:00:00,Dorm_A,18.97
2025-01-06 03:00:00,Dorm_A,12.34
2025-01-06 04:00:00,Dorm_A,19.61
2025-01-06 05:00:00,Dorm_A,18.2
2025-01-06 06:00:00,Dorm_A,22.47
2025-01-06 07:00:00,Dorm_A,25.8
2025-01-06 08:00:00,Dorm_A,29.89
2025-01-06 09:00:00,Dorm_A,23.83
2025-01-06 10:00:00,Dorm_A,14.23
2025-01-06 11:00:00,Dorm_A,18.07
2025-01-06 12:00:00,Dorm_A,13.73
2025-01-06 13:00:00,Dorm_A,12.17
2025-01-06 14:00:00,Dorm_A,18.44
2025-01-06 15:00:00,Dorm_A,18.75
2025-01-06 16:00:00,Dorm_A,18.65
2025-01-06 17:00:00,Dorm_A,15.12
2025-01-06 18:00:00,Dorm_A,36.32
2025-01-06 19:00:00,Dorm_A,39.74
2025-01-06 20:00:00,Dorm_A,32.79
2025-01-06 21:00:00,Dorm_A,43.76
2025-01-06 22:00:00,Dorm_A,42.61
2025-01-06 23:00:00,Dorm_A,11.54
2025-01-07 00:00:00,Dorm_A,11.72
2025-01-07 01:00:00,Dorm_A,13.86
2025-01-07 02:00:00,Dorm_A,12.83
2025-01-07 03:00:00,Dorm_A,10.29
2025-01-07 04:00:00,Dorm_A,18.29
2025-01-07 05:00:00,Dorm_A,13.13
2025-01-07 06:00:00,Dorm_A,27.41
2025-01-07 07:00:00,Dorm_A,21.3
2025-01-07 08:00:00,Dorm_A,24.49
2025-01-07 09:00:00,Dorm_A,25.36
2025-01-07 10:00:00,Dorm_A,17.73
2025-01-07 11:00:00,Dorm_A,18.79
2025-01-07 12:00:00,Dorm_A,18.65
2025-01-07 13:00:00,Dorm_A,11.05
2025-01-07 14:00:00,Dorm_A,16.94
2025-01-07 15:00:00,Dorm_A,16.7
2025-01-07 16:00:00,Dorm_A,18.46
2025-01-07 17:00:00,Dorm_A,17.57
2025-01-07 18:00:00,Dorm_A,44.57
2025-01-07 19:00:00,Dorm_A,44.45
2025-01-07 20:00:00,Dorm_A,35.7
2025-01-07 21:00:00,Dorm_A,39.4
2025-01-07 22:00:00,Dorm_A,32.82
2025-01-07 23:00:00,Dorm_A,17.71
2025-01-08 00:00:00,Dorm_A,15.49
2025-01-08 01:00:00,Dorm_A,14.37
2025-01-08 02:00:00,Dorm_A,14.81
2025-01-08 03:00:00,Dorm_A,10.69
2025-01-08 04:00:00,Dorm_A,15.48
2025-01-08 05:00:00,Dorm_A,11.64
2025-01-08 06:00:00,Dorm_A,24.76
2025-01-08 07:00:00,Dorm_A,20.84
2025-01-08 08:00:00,Dorm_A,22.29
2025-01-08 09:00:00,Dorm_A,24.77
2025-01-08 10:00:00,Dorm_A,14.29
2025-01-08 11:00:00,Dorm_A,19.5
2025-01-08 12:00:00,Dorm_A,12.66
2025-01-08 13:00:00,Dorm_A,15.37
2025-01-08 14:00:00,Dorm_A,15.11
2025-01-08 15:00:00,Dorm_A,10.74
2025-01-08 16:00:00,Dorm_A,16.84
2025-01-08 17:00:00,Dorm_A,11.58
2025-01-08 18:00:00,Dorm_A,34.02
2025-01-08 19:00:00,Dorm_A,39.88
2025-01-08 20:00:00,Dorm_A,43.72
2025-01-08 21:00:00,Dorm_A,32.53
2025-01-08 22:00:00,Dorm_A,34.11
2025-01-08 23:00:00,Dorm_A,16.61
2025-01-09 00:00:00,Dorm_A,16.52
2025-01-09 01:00:00,Dorm_A,12.63
2025-01-09 02:00:00,Dorm_A,15.38
2025-01-09 03:00:00,Dorm_A,16.33
2025-01-09 04:00:00,Dorm_A,18.05
2025-01-09 05:00:00,Dorm_A,19.45
2025-01-09 06:00:00,Dorm_A,27.92
2025-01-09 07:00:00,Dorm_A,21.69
2025-01-09 08:00:00,Dorm_A,24.87
2025-01-09 09:00:00,Dorm_A,21.6
2025-01-09 10:00:00,Dorm_A,17.82
2025-01-09 11:00:00,Dorm_A,14.64
2025-01-09 12:00:00,Dorm_A,17.74
2025-01-09 13:00:00,Dorm_A,11.01
2025-01-09 14:00:00,Dorm_A,16.25
2025-01-09 15:00:00,Dorm_A,18.26
2025-01-09 16:00:00,Dorm_A,12.79
2025-01-09 17:00:00,Dorm_A,11.42
2025-01-09 18:00:00,Dorm_A,39.2
2025-01-09 19:00:00,Dorm_A,33.48
2025-01-09 20:00:00,Dorm_A,41.62
2025-01-09 21:00:00,Dorm_A,40.49
2025-01-09 22:00:00,Dorm_A,30.66
2025-01-09 23:00:00,Dorm_A,15.4
2025-01-10 00:00:00,Dorm_A,11.89
2025-01-10 01:00:00,Dorm_A,12.28
2025-01-10 02:00:00,Dorm_A,12.14
2025-01-10 03:00:00,Dorm_A,18.01
2025-01-10 04:00:00,Dorm_A,12.21
2025-01-10 05:00:00,Dorm_A,11.27
2025-01-10 06:00:00,Dorm_A,21.7
2025-01-10 07:00:00,Dorm_A,21.58
2025-01-10 08:00:00,Dorm_A,23.05
2025-01-10 09:00:00,Dorm_A,24.06
2025-01-10 10:00:00,Dorm_A,11.01
2025-01-10 11:00:00,Dorm_A,11.95
2025-01-10 12:00:00,Dorm_A,15.48
2025-01-10 13:00:00,Dorm_A,10.03
2025-01-10 14:00:00,Dorm_A,19.2
2025-01-10 15:00:00,Dorm_A,11.75
2025-01-10 16:00:00,Dorm_A,11.52
2025-01-10 17:00:00,Dorm_A,10.39
2025-01-10 18:00:00,Dorm_A,35.75
2025-01-10 19:00:00,Dorm_A,35.02
2025-01-10 20:00:00,Dorm_A,32.79
2025-01-10 21:00:00,Dorm_A,35.36
2025-01-10 22:00:00,Dorm_A,39.77
2025-01-10 23:00:00,Dorm_A,11.07
2025-01-11 00:00:00,Dorm_A,16.3
2025-01-11 01:00:00,Dorm_A,19.43
2025-01-11 02:00:00,Dorm_A,13.48
2025-01-11 03:00:00,Dorm_A,18.07
2025-01-11 04:00:00,Dorm_A,12.02
2025-01-11 05:00:00,Dorm_A,16.0
2025-01-11 06:00:00,Dorm_A,29.06
2025-01-11 07:00:00,Dorm_A,25.86
2025-01-11 08:00:00,Dorm_A,24.51
2025-01-11 09:00:00,Dorm_A,21.87
2025-01-11 10:00:00,Dorm_A,15.19
2025-01-11 11:00:00,Dorm_A,17.51
2025-01-11 12:00:00,Dorm_A,12.8
2025-01-11 13:00:00,Dorm_A,15.56
2025-01-11 14:00:00,Dorm_A,15.17
2025-01-11 15:00:00,Dorm_A,15.63
2025-01-11 16:00:00,Dorm_A,15.78
2025-01-11 17:00:00,Dorm_A,19.94
2025-01-11 18:00:00,Dorm_A,33.35
2025-01-11 19:00:00,Dorm_A,44.71
2025-01-11 20:00:00,Dorm_A,41.49
2025-01-11 21:00:00,Dorm_A,33.36
2025-01-11 22:00:00,Dorm_A,39.89
2025-01-11 23:00:00,Dorm_A,13.77
2025-01-12 00:00:00,Dorm_A,18.38
2025-01-12 01:00:00,Dorm_A,12.36
2025-01-12 02:00:00,Dorm_A,12.9
2025-01-12 03:00:00,Dorm_A,14.13
2025-01-12 04:00:00,Dorm_A,13.61
2025-01-12 05:00:00,Dorm_A,11.96
2025-01-12 06:00:00,Dorm_A,22.67
2025-01-12 07:00:00,Dorm_A,20.02
2025-01-12 08:00:00,Dorm_A,22.94
2025-01-12 09:00:00,Dorm_A,26.93
2025-01-12 10:00:00,Dorm_A,12.29
2025-01-12 11:00:00,Dorm_A,18.53
2025-01-12 12:00:00,Dorm_A,11.59
2025-01-12 13:00:00,Dorm_A,14.25
2025-01-12 14:00:00,Dorm_A,11.32
2025-01-12 15:00:00,Dorm_A,11.18
2025-01-12 16:00:00,Dorm_A,10.16
2025-01-12 17:00:00,Dorm_A,13.79
2025-01-12 18:00:00,Dorm_A,43.22
2025-01-12 19:00:00,Dorm_A,42.86
2025-01-12 20:00:00,Dorm_A,39.65
2025-01-12 21:00:00,Dorm_A,44.02
2025-01-12 22:00:00,Dorm_A,35.34
2025-01-12 23:00:00,Dorm_A,15.41
2025-01-13 00:00:00,Dorm_A,12.27
2025-01-13 01:00:00,Dorm_A,14.0
2025-01-13 02:00:00,Dorm_A,13.37
2025-01-13 03:00:00,Dorm_A,12.72
2025-01-13 04:00:00,Dorm_A,15.45
2025-01-13 05:00:00,Dorm_A,15.38
2025-01-13 06:00:00,Dorm_A,23.74
2025-01-13 07:00:00,Dorm_A,29.45
2025-01-13 08:00:00,Dorm_A,23.32
2025-01-13 09:00:00,Dorm_A,29.14
2025-01-13 10:00:00,Dorm_A,19.95
2025-01-13 11:00:00,Dorm_A,17.13
2025-01-13 12:00:00,Dorm_A,10.49
2025-01-13 13:00:00,Dorm_A,11.5
2025-01-13 14:00:00,Dorm_A,16.12
2025-01-13 15:00:00,Dorm_A,18.32
2025-01-13 16:00:00,Dorm_A,15.61
2025-01-13 17:00:00,Dorm_A,11.48
2025-01-13 18:00:00,Dorm_A,36.39
2025-01-13 19:00:00,Dorm_A,42.21
2025-01-13 20:00:00,Dorm_A,34.55
2025-01-13 21:00:00,Dorm_A,43.3
2025-01-13 22:00:00,Dorm_A,37.76
2025-01-13 23:00:00,Dorm_A,16.36
2025-01-14 00:00:00,Dorm_A,11.99
2025-01-14 01:00:00,Dorm_A,11.94
2025-01-14 02:00:00,Dorm_A,12.53
2025-01-14 03:00:00,Dorm_A,13.18
2025-01-14 04:00:00,Dorm_A,17.07
2025-01-14 05:00:00,Dorm_A,13.62
2025-01-14 06:00:00,Dorm_A,23.74
2025-01-14 07:00:00,Dorm_A,21.76
2025-01-14 08:00:00,Dorm_A,24.72
2025-01-14 09:00:00,Dorm_A,29.96
